区域,省份,编码,燃油类型,车型,车长,适用范围,计价方式,计费模式,阶梯起始,阶梯结束,费率,起步价,保底价,封顶价
津冀辽取派中心,辽宁分区,HT-202601-1379,燃油,平板车,4.2,锦州取派部,按公里,累加,10,20,4.2,0,160.0,800.0
津冀辽取派中心,辽宁分区,HT-202601-1379,电动,面包车,3.2,锦州取派部,按重量,累加,30,50,0.18,0,70.0,280.0
津冀辽取派中心,辽宁分区,HT-202601-1379,电动,低栏车,4.2,锦州取派部,按公里,累加,20,30,3.8,0,150.0,450.0
津冀辽取派中心,辽宁分区,HT-202601-1379,燃油,低栏车,3.2,锦州取派部,按重量,累加,10,30,0.3,0,80.0,310.0
津冀辽取派中心,辽宁分区,HT-202601-1379,电动,厢式车,4.2,锦州取派部,按重量,累加,30,50,0.18,0,150.0,440.0
津冀辽取派中心,辽宁分区,HT-202601-1379,燃油,高栏车,4.2,锦州取派部,按公里,累加,0,10,160.0,160,160.0,540.0
津冀辽取派中心,辽宁分区,HT-202601-1379,电动,面包车,1.8,锦州取派部,按公里,累加,20,30,2.3,0,70.0,220.0
津冀辽取派中心,辽宁分区,HT-202601-1379,燃油,面包车,3.2,锦州取派部,按重量,累加,0,10,0.5,0,80.0,310.0
津冀辽取派中心,辽宁分区,HT-202601-1379,燃油,平板车,4.2,锦州取派部,按重量,累加,50,100,0.55,0,160.0,800.0
津冀辽取派中心,辽宁分区,HT-202601-1379,燃油,面包车,2.7,锦州取派部,按公里,累加,10,20,3.0,0,80.0,300.0
津冀辽取派中心,辽宁分区,HT-202601-1379,燃油,厢式车,4.2,锦州取派部,按公里,累加,0,10,160.0,160,160.0,510.0
津冀辽取派中心,辽宁分区,HT-202601-1379,电动,厢式车,4.2,锦州取派部,按公里,累加,200,300,0.8,0,150.0,440.0
津冀辽取派中心,辽宁分区,HT-202601-1379,燃油,厢式车,9.6,锦州取派部,按重量,累加,0,10,0.85,0,760.0,960.0
津冀辽取派中心,辽宁分区,HT-202601-1379,燃油,面包车,2.7,锦州取派部,按公里,累加,100,200,1.4,0,80.0,300.0
